NAME_OF_HIGH_COURT,UNDER_ACTS,UNDER_SECTIONS,NATURE_OF_DISPOSAL_OUTCOME,POLICE_STATION
HIGH COURT OF MANIPUR,75.9,75.9,73.7,0.0
HIGH COURT OF SIKKIM,52.6,52.6,53.8,1.3
HIGH COURT OF JAMMU AND KASHMIR,47.6,47.6,46.7,10.3
ALLAHABAD HIGH COURT,88.9,88.6,46.4,98.9
ORISSA HIGH COURT,45.1,45.1,41.4,94.3
HIGH COURT OF JHARKHAND,40.7,40.7,40.1,91.1
HIGH COURT OF TRIPURA,39.6,39.6,39.6,3.2
HIGH COURT OF CHHATTISGARH,99.9,99.9,39.5,83.0
HIGH COURT OF UTTARAKHAND,40.4,40.4,37.4,76.0
THE GAUHATI HIGH COURT,35.3,35.3,33.8,13.3
HIGH COURT OF MEGHALAYA,27.4,14.0,27.0,0.0
HIGH COURT OF RAJASTHAN,27.5,27.5,26.3,96.1
HIGH COURT OF KERALA,25.9,25.9,23.1,91.9
CALCUTTA HIGH COURT,12.4,12.2,14.8,11.6
HIGH COURT OF BOMBAY,100.0,100.0,10.6,81.7
