NAME_OF_HIGH_COURT,ANTICIPATORY BAIL,CANCELLATION,REGULAR BAIL,TOTAL_CASES
ORISSA HIGH COURT,67.59,0.0,32.41,173769
HIGH COURT OF RAJASTHAN,0.0,0.74,99.26,171305
HIGH COURT OF JHARKHAND,36.96,0.0,63.04,155243
CALCUTTA HIGH COURT,0.0,0.0,100.0,113025
HIGH COURT OF KERALA,0.0,0.0,100.0,92061
THE GAUHATI HIGH COURT,55.53,0.0,44.47,86836
HIGH COURT OF BOMBAY,40.88,1.09,58.02,58850
HIGH COURT OF UTTARAKHAND,1.6,0.75,97.65,27167
ALLAHABAD HIGH COURT,61.59,12.78,25.64,25733
HIGH COURT OF CHHATTISGARH,100.0,0.0,0.0,17493
HIGH COURT OF TRIPURA,57.62,0.0,42.38,3077
HIGH COURT OF JAMMU AND KASHMIR,0.0,0.0,100.0,2022
HIGH COURT OF MEGHALAYA,41.24,0.0,58.76,788
HIGH COURT OF MANIPUR,92.43,0.0,7.57,449
HIGH COURT OF SIKKIM,0.0,0.0,100.0,78
