Mapped_Bail,CASE_TYPE_GROUP,cases,share_pct
ANTICIPATORY BAIL,ABLAPL,117449,41.44
ANTICIPATORY BAIL,A.B.A.,57372,20.24
ANTICIPATORY BAIL,AB,50734,17.9
ANTICIPATORY BAIL,ABA,24488,8.64
ANTICIPATORY BAIL,MCRCA,17493,6.17
ANTICIPATORY BAIL,ABAIL,15848,5.59
ANTICIPATORY BAIL,OTHER_CASE_TYPE,8,0.0
CANCELLATION,BAILC,3288,60.83
CANCELLATION,CRLBC,1270,23.5
CANCELLATION,ACB,644,11.91
CANCELLATION,BAC,203,3.76
REGULAR BAIL,CRLMB,163935,25.65
REGULAR BAIL,CRM,113024,17.68
REGULAR BAIL,B.A.,97871,15.31
REGULAR BAIL,BAIL APPL.,92061,14.4
REGULAR BAIL,BLAPL,56320,8.81
REGULAR BAIL,BAIL APPLN.,37788,5.91
REGULAR BAIL,BA,37444,5.86
REGULAR BAIL,BA1,23740,3.71
