NAME_OF_HIGH_COURT,cases,adjusted_index_point,ci_low_2_5,ci_high_97_5,ci_excludes_100
HIGH COURT OF JAMMU AND KASHMIR,1792,397.55,354.79,433.28,True
HIGH COURT OF MANIPUR,430,233.41,155.56,300.0,True
HIGH COURT OF JHARKHAND,151307,192.31,189.13,195.65,True
ORISSA HIGH COURT,158077,123.33,121.74,125.0,True
HIGH COURT OF CHHATTISGARH,17492,115.22,113.04,116.67,True
HIGH COURT OF UTTARAKHAND,26445,113.33,109.52,116.67,True
HIGH COURT OF BOMBAY,47725,93.88,91.84,95.95,True
THE GAUHATI HIGH COURT,86683,90.0,87.8,90.91,True
HIGH COURT OF RAJASTHAN,168366,75.0,73.08,76.19,True
HIGH COURT OF KERALA,91041,66.67,66.67,66.67,True
CALCUTTA HIGH COURT,110516,64.0,62.5,66.67,True
ALLAHABAD HIGH COURT,13133,50.19,50.0,53.12,True
HIGH COURT OF SIKKIM,78,38.46,36.36,51.85,True
HIGH COURT OF MEGHALAYA,788,30.43,28.57,33.33,True
HIGH COURT OF TRIPURA,3077,25.45,23.68,25.81,True
