NAME_OF_HIGH_COURT,cases,observed_median_days,adjusted_delay_index,long_delay_rate_p75,very_long_delay_rate_p90
HIGH COURT OF JAMMU AND KASHMIR,1792,156.0,397.55,67.91,52.12
HIGH COURT OF MANIPUR,430,78.0,233.41,53.02,39.77
HIGH COURT OF JHARKHAND,151307,51.0,192.31,41.65,12.94
ORISSA HIGH COURT,158077,42.0,123.33,36.63,17.45
HIGH COURT OF CHHATTISGARH,17492,43.0,115.22,34.36,7.81
HIGH COURT OF UTTARAKHAND,26445,28.0,113.33,31.4,14.08
HIGH COURT OF BOMBAY,47725,43.0,93.88,39.35,18.89
THE GAUHATI HIGH COURT,86683,24.0,90.0,13.32,3.99
HIGH COURT OF RAJASTHAN,168366,17.0,75.0,15.06,6.75
HIGH COURT OF KERALA,91041,14.0,66.67,8.36,2.94
CALCUTTA HIGH COURT,110516,15.0,64.0,14.42,5.09
ALLAHABAD HIGH COURT,13133,16.0,50.19,19.1,12.74
HIGH COURT OF SIKKIM,78,11.5,38.46,3.85,0.0
HIGH COURT OF MEGHALAYA,788,10.0,30.43,2.54,0.51
HIGH COURT OF TRIPURA,3077,9.0,25.45,2.14,0.52
