NAME_OF_HIGH_COURT,cases,median_days,p75_days,p90_days,mean_days
HIGH COURT OF JAMMU AND KASHMIR,1792,156.0,486.5,1566.3,418.87
HIGH COURT OF MANIPUR,430,78.0,312.5,729.6,220.4
HIGH COURT OF JHARKHAND,151307,51.0,95.0,157.0,73.8
HIGH COURT OF BOMBAY,47725,43.0,110.0,215.0,85.12
HIGH COURT OF CHHATTISGARH,17492,43.0,80.0,123.9,58.92
ORISSA HIGH COURT,158077,42.0,102.0,225.0,88.53
HIGH COURT OF UTTARAKHAND,26445,28.0,84.0,182.0,72.51
THE GAUHATI HIGH COURT,86683,24.0,42.0,76.0,52.88
HIGH COURT OF RAJASTHAN,168366,17.0,39.0,92.0,108.59
ALLAHABAD HIGH COURT,13133,16.0,41.0,291.8,138.59
CALCUTTA HIGH COURT,110516,15.0,41.0,85.0,51.07
HIGH COURT OF KERALA,91041,14.0,26.0,55.0,27.52
HIGH COURT OF SIKKIM,78,11.5,18.0,36.3,17.64
HIGH COURT OF MEGHALAYA,788,10.0,19.0,30.0,16.72
HIGH COURT OF TRIPURA,3077,9.0,14.0,24.0,13.71
