feature,coefficient,abs_coefficient
INTERCEPT,-1.1876,1.1876
CASE_TYPE_GROUP_CRLAB,0.302,0.302
NAME_OF_HIGH_COURT_HIGH COURT OF JHARKHAND,0.2145,0.2145
CASE_TYPE_GROUP_A.B.A.,0.2076,0.2076
CASE_TYPE_GROUP_BLAPL,0.2058,0.2058
CASE_TYPE_GROUP_CRLRB,0.1941,0.1941
CASE_TYPE_GROUP_BAIL APPLN.,-0.1838,0.1838
CASE_TYPE_GROUP_CRLMB,-0.159,0.159
NAME_OF_HIGH_COURT_THE GAUHATI HIGH COURT,-0.1473,0.1473
CASE_TYPE_GROUP_BAIL APPL.,-0.1337,0.1337
NAME_OF_HIGH_COURT_HIGH COURT OF KERALA,-0.1337,0.1337
NAME_OF_HIGH_COURT_ORISSA HIGH COURT,0.1309,0.1309
NAME_OF_HIGH_COURT_HIGH COURT OF TRIPURA,-0.1032,0.1032
CASE_TYPE_GROUP_B.A.,0.1006,0.1006
CASE_TYPE_GROUP_CRM,-0.0952,0.0952
NAME_OF_HIGH_COURT_CALCUTTA HIGH COURT,-0.0952,0.0952
NAME_OF_HIGH_COURT_HIGH COURT OF JAMMU AND KASHMIR,0.0903,0.0903
Mapped_Bail_REGULAR BAIL,-0.0901,0.0901
CASE_TYPE_GROUP_BA,0.0852,0.0852
Mapped_Bail_ANTICIPATORY BAIL,0.0818,0.0818
