NAME_OF_HIGH_COURT,total_cases,pending_cases,pending_rate,median_pending_days,p90_pending_days
ALLAHABAD HIGH COURT,25733,12600,48.96,483.0,1117.0
HIGH COURT OF BOMBAY,58850,11093,18.85,620.0,1163.0
HIGH COURT OF JAMMU AND KASHMIR,2022,230,11.37,249.5,1299.7
ORISSA HIGH COURT,173769,15692,9.03,300.0,625.0
HIGH COURT OF MANIPUR,449,19,4.23,701.0,1105.2
HIGH COURT OF UTTARAKHAND,27167,722,2.66,296.0,632.0
HIGH COURT OF JHARKHAND,155243,3936,2.54,32.0,226.5
CALCUTTA HIGH COURT,113025,2509,2.22,2478.0,3227.0
HIGH COURT OF RAJASTHAN,171305,2939,1.72,72.0,351.0
HIGH COURT OF KERALA,92061,1020,1.11,28.0,151.0
THE GAUHATI HIGH COURT,86836,153,0.18,634.0,1274.4
HIGH COURT OF CHHATTISGARH,17493,1,0.01,412.0,412.0
HIGH COURT OF MEGHALAYA,788,0,0.0,,
HIGH COURT OF SIKKIM,78,0,0.0,,
HIGH COURT OF TRIPURA,3077,0,0.0,,
