NAME_OF_HIGH_COURT,Allowed/Granted,Other/Disposed,Rejected/Dismissed,Withdrawn/Not Pressed,LABELED_OUTCOMES
ORISSA HIGH COURT,28.84,62.01,4.83,4.32,71918
HIGH COURT OF JHARKHAND,75.93,2.43,17.49,4.14,62216
HIGH COURT OF RAJASTHAN,69.69,1.56,22.78,5.97,45137
THE GAUHATI HIGH COURT,16.24,72.8,8.79,2.17,29370
HIGH COURT OF KERALA,53.93,19.19,17.28,9.59,21225
CALCUTTA HIGH COURT,37.34,20.38,35.3,6.98,16724
ALLAHABAD HIGH COURT,47.15,21.28,31.57,0.0,11936
HIGH COURT OF UTTARAKHAND,66.36,14.06,14.83,4.76,10174
HIGH COURT OF CHHATTISGARH,57.45,7.25,15.39,19.91,6915
HIGH COURT OF BOMBAY,32.32,37.19,10.92,19.57,6219
HIGH COURT OF TRIPURA,42.9,17.64,23.87,15.59,1219
HIGH COURT OF JAMMU AND KASHMIR,0.0,72.59,13.76,13.65,945
HIGH COURT OF MANIPUR,35.05,42.3,9.37,13.29,331
HIGH COURT OF MEGHALAYA,6.1,79.81,10.8,3.29,213
HIGH COURT OF SIKKIM,9.52,66.67,11.9,11.9,42
